,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Season
40,7T,Luther Head,23,HOU,0,2,625,0.003,80,28.9,8.8,3.3,2.7,1.1,0.1,0.403,0.361,0.699,3.5,0.072,2006
41,9,Ryan Gomes,23,BOS,0,1,625,0.002,61,22.6,7.6,4.9,1.0,0.6,0.1,0.487,0.333,0.752,3.1,0.108,2006
42,1,Brandon Roy,22,POR,127,638,640,0.997,57,35.4,16.8,4.4,4.0,1.2,0.2,0.456,0.377,0.838,4.8,0.114,2007
43,2,Andrea Bargnani,21,TOR,1,264,640,0.413,65,25.1,11.6,3.9,0.8,0.5,0.8,0.427,0.373,0.824,1.9,0.057,2007
44,3,Rudy Gay,20,MEM,0,93,640,0.145,78,27.0,10.8,4.5,1.3,0.9,0.9,0.422,0.364,0.727,0.5,0.011,2007
45,4,Adam Morrison,22,CHA,0,44,640,0.069,78,29.8,11.8,2.9,2.1,0.4,0.1,0.376,0.337,0.71,-1.5,-0.03,2007
46,5,Randy Foye,23,MIN,0,37,640,0.058,82,22.9,10.1,2.7,2.8,0.6,0.3,0.434,0.368,0.854,2.3,0.058,2007
47,6,Paul Millsap,21,UTA,0,19,640,0.03,82,18.0,6.8,5.2,0.8,0.8,0.9,0.525,0.333,0.673,4.7,0.153,2007
48,7,LaMarcus Aldridge,21,POR,0,18,640,0.028,63,22.1,9.0,5.0,0.4,0.3,1.2,0.503,0.0,0.722,3.4,0.118,2007
49,8,Jorge Garbajosa,29,TOR,0,17,640,0.027,67,28.5,8.5,4.9,1.9,1.2,0.2,0.42,0.342,0.731,3.0,0.074,2007
50,9,Tyrus Thomas,20,CHI,0,10,640,0.016,72,13.4,5.2,3.7,0.6,0.6,1.1,0.475,0.0,0.606,2.2,0.11,2007
51,10,Walter Herrmann,27,CHA,0,5,640,0.008,48,19.5,9.2,2.9,0.5,0.4,0.1,0.527,0.461,0.774,2.4,0.125,2007
52,11,Craig Smith,23,MIN,0,4,640,0.006,82,18.7,7.4,5.1,0.6,0.6,0.2,0.531,0.0,0.624,3.9,0.121,2007
53,12,Rajon Rondo,20,BOS,0,3,640,0.005,78,23.5,6.4,3.7,3.8,1.6,0.1,0.418,0.207,0.647,2.4,0.064,2007
54,1,Kevin Durant,19,SEA,90,545,625,0.872,80,34.6,20.3,4.4,2.4,1.0,0.9,0.43,0.288,0.873,2.3,0.04,2008
55,2,Al Horford,21,ATL,30,390,625,0.624,81,31.4,10.1,9.7,1.5,0.7,0.9,0.499,0.0,0.731,5.5,0.103,2008
56,3,Luis Scola,27,HOU,5,146,625,0.234,82,24.7,10.3,6.4,1.3,0.7,0.2,0.515,0.0,0.668,6.5,0.154,2008
57,4,Al Thornton,24,LAC,0,30,625,0.048,79,27.3,12.7,4.5,1.2,0.6,0.5,0.429,0.331,0.743,1.1,0.025,2008
58,5,Jamario Moon,27,TOR,0,7,625,0.011,78,27.8,8.5,6.2,1.2,1.0,1.4,0.485,0.328,0.741,5.7,0.126,2008
59,6,Juan Carlos Navarro,27,MEM,0,3,625,0.005,82,25.8,10.9,2.6,2.2,0.6,0.0,0.402,0.361,0.849,1.4,0.031,2008
60,7,Thaddeus Young,19,PHI,0,2,625,0.003,74,21.0,8.2,4.2,0.8,1.0,0.1,0.539,0.316,0.738,4.5,0.14,2008
61,8T,Mike Conley,20,MEM,0,1,625,0.002,53,26.1,9.4,2.6,4.2,0.8,0.0,0.428,0.33,0.732,1.1,0.038,2008
62,8T,Carl Landry,24,HOU,0,1,625,0.002,42,16.9,8.1,4.9,0.5,0.4,0.2,0.616,0.0,0.661,3.7,0.251,2008
63,1,Derrick Rose,20,CHI,111,574,600,0.957,81,37.0,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,2009
64,2,O.J. Mayo,21,MEM,5,246,600,0.41,82,38.0,18.5,3.8,3.2,1.1,0.2,0.438,0.384,0.879,3.4,0.052,2009
65,3,Brook Lopez,20,NJN,2,127,600,0.212,82,30.5,13.0,8.1,1.0,0.5,1.8,0.531,0.0,0.793,5.8,0.112,2009
66,4,Russell Westbrook,20,OKC,2,73,600,0.122,82,32.5,15.3,4.9,5.3,1.3,0.2,0.398,0.271,0.815,1.9,0.035,2009
67,5,Eric Gordon,20,LAC,0,22,600,0.037,78,34.3,16.1,2.6,2.8,1.0,0.4,0.456,0.389,0.854,4.6,0.082,2009
68,6,Kevin Love,20,MIN,0,16,600,0.027,81,25.3,11.1,9.1,1.0,0.4,0.6,0.459,0.105,0.789,5.3,0.124,2009
